event_id_cnty,event_date,year,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,notes,fatalities,timestamp
DEM444,2023-01-06,2023,Battles,Armed clash,Armed Forces of the DRC (FARDC),,1,M23,,2,12,Democratic Republic of Congo,North Kivu,,,Beni,0.3575,29.3993,1,Reuters,"Battles between Armed Forces of the DRC (FARDC) and M23 in Beni, Democratic Republic of Congo.",20,20230106
SUD636,2023-01-06,2023,Protests,Peaceful protest,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,Blue Nile,,,Ed Damazin,12.1147,34.4373,1,UN OCHA,"Protests between Rioters (Sudan) and Sudan Armed Forces in Ed Damazin, Sudan.",3,20230106
ETH752,2023-01-06,2023,Battles,Armed clash,Fano (Amhara Militia),,3,Oromo Liberation Army,,2,32,Ethiopia,Tigray,,,Mekelle,13.3108,39.1988,1,Local sources,"Battles between Fano (Amhara Militia) and Oromo Liberation Army in Mekelle, Ethiopia.",1,20230106
KEN769,2023-01-07,2023,Battles,Government regains territory,Al-Shabaab,,2,Kenya Defence Forces,,1,21,Kenya,Wajir,,,Wajir,1.5539,40.3558,1,Reuters,"Battles between Al-Shabaab and Kenya Defence Forces in Wajir, Kenya.",7,20230107
SOM283,2023-01-09,2023,Battles,Armed clash,Al-Shabaab,,2,Jubbaland Security Forces,,1,21,Somalia,Lower Shabelle,,,Afgooye,2.4534,45.0966,1,BBC,"Battles between Al-Shabaab and Jubbaland Security Forces in Afgooye, Somalia.",9,20230109
SUD581,2023-01-09,2023,Strategic developments,Non-violent transfer of territory,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,Blue Nile,,,Ed Damazin,12.1249,33.8731,1,Reuters,"Strategic developments between Sudan Armed Forces and Rapid Support Forces in Ed Damazin, Sudan.",0,20230109
ETH757,2023-01-09,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Amhara Regional Forces,,1,61,Ethiopia,Oromia,,,Jimma,8.2511,36.7601,1,Radio Ergo,"Protests between Protesters (Ethiopia) and Amhara Regional Forces in Jimma, Ethiopia.",0,20230109
ETH843,2023-01-09,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Ethiopian National Defense Force,,1,61,Ethiopia,Oromia,,,Addis Ababa,9.2602,38.2687,1,Local sources,"Protests between Protesters (Ethiopia) and Ethiopian National Defense Force in Addis Ababa, Ethiopia.",2,20230109
SUD1002,2023-01-09,2023,Battles,Government regains territory,Rapid Support Forces,,3,Sudan People's Liberation Movement-North,,2,32,Sudan,West Darfur,,,El Geneina,13.1923,22.4426,1,Local sources,"Battles between Rapid Support Forces and Sudan People's Liberation Movement-North in El Geneina, Sudan.",9,20230109
SOU807,2023-01-10,2023,Battles,Government regains territory,South Sudan People's Defence Forces,,1,SPLM-IO,,2,12,South Sudan,Upper Nile,,,Malakal,9.3347,31.2327,1,BBC,"Battles between South Sudan People's Defence Forces and SPLM-IO in Malakal, South Sudan.",6,20230110
SUD70,2023-01-13,2023,Violence against civilians,Abduction/forced disappearance,Rapid Support Forces,,3,Sudanese Armed Civilians,,7,37,Sudan,Khartoum,,,Khartoum,15.3737,32.602,1,Reuters,"Violence against civilians between Rapid Support Forces and Sudanese Armed Civilians in Khartoum, Sudan.",3,20230113
ETH602,2023-01-13,2023,Battles,Armed clash,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Tigray,,,Axum,14.0105,38.4617,1,Radio Ergo,"Battles between Ethiopian National Defense Force and Tigray People's Liberation Front in Axum, Ethiopia.",1,20230113
SUD375,2023-01-14,2023,Riots,Violent demonstration,Rioters (Sudan),,5,Rapid Support Forces,,3,53,Sudan,Khartoum,,,Khartoum,15.7797,32.1483,1,BBC,"Riots between Rioters (Sudan) and Rapid Support Forces in Khartoum, Sudan.",1,20230114
SOU69,2023-01-15,2023,Battles,Government regains territory,South Sudan People's Defence Forces,,1,SPLM-IO,,2,12,South Sudan,Jonglei,,,Bor,6.3044,31.5863,1,AFP,"Battles between South Sudan People's Defence Forces and SPLM-IO in Bor, South Sudan.",14,20230115
SUD594,2023-01-15,2023,Battles,Non-state actor overtakes territory,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,West Darfur,,,El Geneina,13.4225,22.0039,1,AFP,"Battles between Sudan Armed Forces and Rapid Support Forces in El Geneina, Sudan.",2,20230115
ETH635,2023-01-15,2023,Violence against civilians,Attack,Oromo Liberation Army,,2,Civilians (Somalia),,7,27,Ethiopia,Oromia,,,Addis Ababa,9.0344,39.0602,1,BBC,"Violence against civilians between Oromo Liberation Army and Civilians (Somalia) in Addis Ababa, Ethiopia.",6,20230115
SUD941,2023-01-15,2023,Protests,Peaceful protest,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,South Darfur,,,Nyala,11.9447,24.4276,1,Radio Ergo,"Protests between Rioters (Sudan) and Sudan Armed Forces in Nyala, Sudan.",1,20230115
ETH91,2023-01-16,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Amhara Regional Forces,,1,61,Ethiopia,Afar,,,Semera,12.3431,40.4412,1,Reuters,"Protests between Protesters (Ethiopia) and Amhara Regional Forces in Semera, Ethiopia.",1,20230116
SOM567,2023-01-16,2023,Battles,Armed clash,Al-Shabaab,,2,ATMIS Forces,,1,21,Somalia,Lower Shabelle,,,Afgooye,2.2151,45.3883,1,AFP,"Battles between Al-Shabaab and ATMIS Forces in Afgooye, Somalia.",13,20230116
SOM218,2023-01-17,2023,Violence against civilians,Attack,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Bay,,,Baidoa,2.8369,43.4664,1,Radio Ergo,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Baidoa, Somalia.",0,20230117
SUD972,2023-01-17,2023,Battles,Non-state actor overtakes territory,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,West Darfur,,,El Geneina,13.8425,22.7509,1,Local sources,"Battles between Sudan Armed Forces and Rapid Support Forces in El Geneina, Sudan.",13,20230117
SUD190,2023-01-18,2023,Explosions/Remote violence,Air/drone strike,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,South Darfur,,,Nyala,12.443,24.833,1,Radio Ergo,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Nyala, Sudan.",2,20230118
SUD862,2023-01-19,2023,Battles,Government regains territory,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,North Darfur,,,El Fasher,13.9788,25.696,1,BBC,"Battles between Sudan Armed Forces and Rapid Support Forces in El Fasher, Sudan.",2,20230119
SUD15,2023-01-20,2023,Riots,Mob violence,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,South Darfur,,,Nyala,12.4587,24.492,1,AFP,"Riots between Rioters (Sudan) and Sudan Armed Forces in Nyala, Sudan.",1,20230120
SOU760,2023-01-22,2023,Battles,Armed clash,South Sudan People's Defence Forces,,1,SPLM-IO,,2,12,South Sudan,Upper Nile,,,Malakal,9.2179,31.7219,1,UN OCHA,"Battles between South Sudan People's Defence Forces and SPLM-IO in Malakal, South Sudan.",1,20230122
ETH980,2023-01-22,2023,Battles,Armed clash,Ethiopian National Defense Force,,1,Oromo Liberation Army,,2,12,Ethiopia,Tigray,,,Axum,13.9865,38.6797,1,Local sources,"Battles between Ethiopian National Defense Force and Oromo Liberation Army in Axum, Ethiopia.",2,20230122
SOM815,2023-01-25,2023,Violence against civilians,Abduction/forced disappearance,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Lower Juba,,,Kismayo,-0.2373,42.3545,1,Local sources,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Kismayo, Somalia.",9,20230125
SUD1151,2023-01-25,2023,Violence against civilians,Attack,Rapid Support Forces,,3,Sudanese Armed Civilians,,7,37,Sudan,South Darfur,,,Nyala,12.4548,25.3283,1,Local sources,"Violence against civilians between Rapid Support Forces and Sudanese Armed Civilians in Nyala, Sudan.",2,20230125
SUD1160,2023-01-27,2023,Riots,Violent demonstration,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,South Darfur,,,Nyala,11.9041,25.5977,1,Local sources,"Riots between Rioters (Sudan) and Sudan Armed Forces in Nyala, Sudan.",5,20230127
DEM288,2023-01-28,2023,Violence against civilians,Abduction/forced disappearance,M23,,2,Civilians (Somalia),,7,27,Democratic Republic of Congo,North Kivu,,,Rutshuru,-1.0707,29.843,1,BBC,"Violence against civilians between M23 and Civilians (Somalia) in Rutshuru, Democratic Republic of Congo.",14,20230128
ETH754,2023-01-28,2023,Battles,Armed clash,Fano (Amhara Militia),,3,Oromo Liberation Army,,2,32,Ethiopia,Amhara,,,Bahir Dar,11.4039,37.1286,1,Radio Ergo,"Battles between Fano (Amhara Militia) and Oromo Liberation Army in Bahir Dar, Ethiopia.",3,20230128
ETH629,2023-01-30,2023,Battles,Armed clash,Ethiopian National Defense Force,,1,Oromo Liberation Army,,2,12,Ethiopia,Amhara,,,Gondar,12.9791,37.1762,1,UN OCHA,"Battles between Ethiopian National Defense Force and Oromo Liberation Army in Gondar, Ethiopia.",9,20230130
SOM296,2023-01-31,2023,Violence against civilians,Abduction/forced disappearance,Fano (Amhara Militia),,3,Civilians (Somalia),,7,37,Somalia,Hiraan,,,Beledweyne,4.5043,45.169,1,UN OCHA,"Violence against civilians between Fano (Amhara Militia) and Civilians (Somalia) in Beledweyne, Somalia.",5,20230131
DEM314,2023-01-31,2023,Battles,Armed clash,Armed Forces of the DRC (FARDC),,1,M23,,2,12,Democratic Republic of Congo,Ituri,,,Bunia,1.1595,30.7678,1,AFP,"Battles between Armed Forces of the DRC (FARDC) and M23 in Bunia, Democratic Republic of Congo.",9,20230131
ETH528,2023-01-31,2023,Battles,Armed clash,Ethiopian National Defense Force,,1,Oromo Liberation Army,,2,12,Ethiopia,SNNPR,,,Hawassa,7.4305,38.9917,1,Radio Ergo,"Battles between Ethiopian National Defense Force and Oromo Liberation Army in Hawassa, Ethiopia.",19,20230131
ETH771,2023-01-31,2023,Explosions/Remote violence,Air/drone strike,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Oromia,,,Jimma,7.5998,36.4804,1,Reuters,"Explosions/Remote violence between Ethiopian National Defense Force and Tigray People's Liberation Front in Jimma, Ethiopia.",1,20230131
SOM1043,2023-01-31,2023,Violence against civilians,Looting/property destruction,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Bay,,,Baidoa,3.1224,43.439,1,AFP,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Baidoa, Somalia.",0,20230131
SOM560,2023-02-01,2023,Battles,Non-state actor overtakes territory,Al-Shabaab,,2,Somalia National Army,,1,21,Somalia,Hiraan,,,Beledweyne,4.5594,45.1654,1,UN OCHA,"Battles between Al-Shabaab and Somalia National Army in Beledweyne, Somalia.",12,20230201
ETH19,2023-02-02,2023,Battles,Armed clash,Ethiopian National Defense Force,,1,Oromo Liberation Army,,2,12,Ethiopia,Tigray,,,Axum,14.0591,39.0586,1,UN OCHA,"Battles between Ethiopian National Defense Force and Oromo Liberation Army in Axum, Ethiopia.",0,20230202
SUD452,2023-02-04,2023,Protests,Peaceful protest,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,North Darfur,,,El Fasher,13.4978,25.0974,1,Radio Ergo,"Protests between Rioters (Sudan) and Sudan Armed Forces in El Fasher, Sudan.",1,20230204
SOM817,2023-02-04,2023,Explosions/Remote violence,Air/drone strike,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Lower Shabelle,,,Afgooye,2.1619,45.0149,1,Local sources,"Explosions/Remote violence between Al-Shabaab and Civilians (Somalia) in Afgooye, Somalia.",2,20230204
ETH1048,2023-02-04,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Ethiopian National Defense Force,,1,61,Ethiopia,Amhara,,,Gondar,12.4485,38.0108,1,Radio Ergo,"Protests between Protesters (Ethiopia) and Ethiopian National Defense Force in Gondar, Ethiopia.",2,20230204
SOM925,2023-02-05,2023,Violence against civilians,Attack,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Hiraan,,,Beledweyne,4.451,45.193,1,UN OCHA,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Beledweyne, Somalia.",3,20230205
ETH299,2023-02-06,2023,Explosions/Remote violence,IED/landmine/UVIED,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Amhara,,,Gondar,12.6361,37.6937,1,Radio Ergo,"Explosions/Remote violence between Ethiopian National Defense Force and Tigray People's Liberation Front in Gondar, Ethiopia.",8,20230206
SUD1177,2023-02-06,2023,Explosions/Remote violence,Air/drone strike,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,Khartoum,,,Khartoum,15.0209,32.527,1,Reuters,"Explosions/Remote violence between Sudan Armed Forces and Rapid Support Forces in Khartoum, Sudan.",0,20230206
SOM90,2023-02-07,2023,Violence against civilians,Looting/property destruction,FDLR,,2,Civilians (Somalia),,7,27,Somalia,Lower Juba,,,Kismayo,-0.0959,42.4868,1,Reuters,"Violence against civilians between FDLR and Civilians (Somalia) in Kismayo, Somalia.",5,20230207
SUD161,2023-02-07,2023,Explosions/Remote violence,Shelling/artillery/missile attack,Rapid Support Forces,,3,Sudan Armed Forces,,1,31,Sudan,West Darfur,,,El Geneina,13.1275,22.852,1,Radio Ergo,"Explosions/Remote violence between Rapid Support Forces and Sudan Armed Forces in El Geneina, Sudan.",9,20230207
SUD255,2023-02-07,2023,Explosions/Remote violence,Air/drone strike,Rapid Support Forces,,3,Sudan Armed Forces,,1,31,Sudan,Blue Nile,,,Ed Damazin,11.9622,34.4968,1,Radio Ergo,"Explosions/Remote violence between Rapid Support Forces and Sudan Armed Forces in Ed Damazin, Sudan.",14,20230207
ETH564,2023-02-07,2023,Battles,Non-state actor overtakes territory,Fano (Amhara Militia),,3,Oromo Liberation Army,,2,32,Ethiopia,Amhara,,,Bahir Dar,11.7863,37.5603,1,Reuters,"Battles between Fano (Amhara Militia) and Oromo Liberation Army in Bahir Dar, Ethiopia.",6,20230207
SUD510,2023-02-08,2023,Protests,Protest with intervention,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,Khartoum,,,Khartoum,15.683,32.7276,1,UN OCHA,"Protests between Rioters (Sudan) and Sudan Armed Forces in Khartoum, Sudan.",3,20230208
DEM1004,2023-02-08,2023,Violence against civilians,Looting/property destruction,Mai Mai Militia,,4,Civilians (Somalia),,7,47,Democratic Republic of Congo,Maniema,,,Kindu,-3.5535,26.0654,1,Reuters,"Violence against civilians between Mai Mai Militia and Civilians (Somalia) in Kindu, Democratic Republic of Congo.",0,20230208
KEN1189,2023-02-09,2023,Battles,Non-state actor overtakes territory,Al-Shabaab,,2,Kenya Defence Forces,,1,21,Kenya,Mandera,,,Mandera,4.0497,41.5284,1,Radio Ergo,"Battles between Al-Shabaab and Kenya Defence Forces in Mandera, Kenya.",8,20230209
SOM79,2023-02-11,2023,Violence against civilians,Abduction/forced disappearance,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Bay,,,Baidoa,2.7861,43.6095,1,AFP,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Baidoa, Somalia.",11,20230211
DEM188,2023-02-11,2023,Battles,Armed clash,M23,,2,FDLR,,2,22,Democratic Republic of Congo,Maniema,,,Kindu,-2.77,26.1268,1,Local sources,"Battles between M23 and FDLR in Kindu, Democratic Republic of Congo.",2,20230211
ETH430,2023-02-11,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Ethiopian National Defense Force,,1,61,Ethiopia,Oromia,,,Jimma,7.6999,37.0685,1,BBC,"Protests between Protesters (Ethiopia) and Ethiopian National Defense Force in Jimma, Ethiopia.",1,20230211
SUD60,2023-02-12,2023,Battles,Non-state actor overtakes territory,Sudan Armed Forces,,1,Sudan People's Liberation Movement-North,,2,12,Sudan,Blue Nile,,,Ed Damazin,11.5422,34.6118,1,AFP,"Battles between Sudan Armed Forces and Sudan People's Liberation Movement-North in Ed Damazin, Sudan.",7,20230212
SUD1157,2023-02-12,2023,Battles,Government regains territory,Rapid Support Forces,,3,Sudan People's Liberation Movement-North,,2,32,Sudan,North Darfur,,,El Fasher,13.2586,25.1604,1,Reuters,"Battles between Rapid Support Forces and Sudan People's Liberation Movement-North in El Fasher, Sudan.",3,20230212
SUD709,2023-02-13,2023,Battles,Armed clash,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,Gedaref,,,Gedaref,14.1148,35.285,1,UN OCHA,"Battles between Sudan Armed Forces and Rapid Support Forces in Gedaref, Sudan.",14,20230213
SOU89,2023-02-14,2023,Battles,Non-state actor overtakes territory,South Sudan People's Defence Forces,,1,National Salvation Front,,2,12,South Sudan,Upper Nile,,,Malakal,9.7855,31.5079,1,Radio Ergo,"Battles between South Sudan People's Defence Forces and National Salvation Front in Malakal, South Sudan.",8,20230214
ETH411,2023-02-14,2023,Protests,Peaceful protest,Protesters (Ethiopia),,6,Amhara Regional Forces,,1,61,Ethiopia,Afar,,,Semera,11.7428,41.1294,1,Reuters,"Protests between Protesters (Ethiopia) and Amhara Regional Forces in Semera, Ethiopia.",2,20230214
DEM436,2023-02-14,2023,Battles,Armed clash,Armed Forces of the DRC (FARDC),,1,M23,,2,12,Democratic Republic of Congo,North Kivu,,,Beni,0.7283,29.7394,1,UN OCHA,"Battles between Armed Forces of the DRC (FARDC) and M23 in Beni, Democratic Republic of Congo.",2,20230214
SOM741,2023-02-14,2023,Explosions/Remote violence,IED/landmine/UVIED,Al-Shabaab,,2,ATMIS Forces,,1,21,Somalia,Banadir,,,Mogadishu,1.8253,45.7516,1,Radio Ergo,"Explosions/Remote violence between Al-Shabaab and ATMIS Forces in Mogadishu, Somalia.",7,20230214
SUD41,2023-02-15,2023,Explosions/Remote violence,Suicide bomb,Sudan Armed Forces,,1,Rapid Support Forces,,3,13,Sudan,West Darfur,,,El Geneina,13.3779,22.5291,1,Radio Ergo,"Explosions/Remote violence between Sudan Armed Forces and Rapid Support Forces in El Geneina, Sudan.",5,20230215
SOM219,2023-02-15,2023,Violence against civilians,Looting/property destruction,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Galgaduud,,,Dhusamareb,5.6623,46.9663,1,Reuters,"Violence against civilians between Al-Shabaab and Civilians (Somalia) in Dhusamareb, Somalia.",3,20230215
SOM787,2023-02-15,2023,Explosions/Remote violence,Shelling/artillery/missile attack,Al-Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Lower Shabelle,,,Afgooye,1.55,44.8613,1,Local sources,"Explosions/Remote violence between Al-Shabaab and Civilians (Somalia) in Afgooye, Somalia.",3,20230215
ETH6,2023-02-16,2023,Protests,Protest with intervention,Protesters (Ethiopia),,6,Amhara Regional Forces,,1,61,Ethiopia,Tigray,,,Axum,14.708,38.6636,1,Reuters,"Protests between Protesters (Ethiopia) and Amhara Regional Forces in Axum, Ethiopia.",1,20230216
SOM1076,2023-02-16,2023,Battles,Non-state actor overtakes territory,Al-Shabaab,,2,Jubbaland Security Forces,,1,21,Somalia,Lower Shabelle,,,Afgooye,2.0342,44.895,1,BBC,"Battles between Al-Shabaab and Jubbaland Security Forces in Afgooye, Somalia.",1,20230216
SOM1153,2023-02-16,2023,Violence against civilians,Looting/property destruction,M23,,2,Civilians (Somalia),,7,27,Somalia,Galgaduud,,,Dhusamareb,6.1849,46.0293,1,Local sources,"Violence against civilians between M23 and Civilians (Somalia) in Dhusamareb, Somalia.",3,20230216
ETH926,2023-02-17,2023,Battles,Government regains territory,Ethiopian National Defense Force,,1,Tigray People's Liberation Front,,2,12,Ethiopia,Oromia,,,Addis Ababa,8.8541,38.4661,1,UN OCHA,"Battles between Ethiopian National Defense Force and Tigray People's Liberation Front in Addis Ababa, Ethiopia.",17,20230217
SUD742,2023-02-19,2023,Protests,Protest with intervention,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,North Darfur,,,El Fasher,13.7755,24.8764,1,UN OCHA,"Protests between Rioters (Sudan) and Sudan Armed Forces in El Fasher, Sudan.",2,20230219
SUD766,2023-02-21,2023,Protests,Protest with intervention,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,Gedaref,,,Gedaref,14.5249,35.2649,1,Reuters,"Protests between Rioters (Sudan) and Sudan Armed Forces in Gedaref, Sudan.",3,20230221
SOM720,2023-02-23,2023,Violence against civilians,Looting/property destruction,Mai Mai Militia,,4,Civilians (Somalia),,7,47,Somalia,Hiraan,,,Beledweyne,4.3334,45.3535,1,Reuters,"Violence against civilians between Mai Mai Militia and Civilians (Somalia) in Beledweyne, Somalia.",8,20230223
ETH796,2023-02-23,2023,Protests,Peaceful protest,Protesters (Ethiopia),,6,Amhara Regional Forces,,1,61,Ethiopia,Tigray,,,Axum,14.1259,38.3199,1,Local sources,"Protests between Protesters (Ethiopia) and Amhara Regional Forces in Axum, Ethiopia.",1,20230223
SUD1059,2023-02-23,2023,Protests,Peaceful protest,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,Gedaref,,,Gedaref,14.5932,35.8485,1,Reuters,"Protests between Rioters (Sudan) and Sudan Armed Forces in Gedaref, Sudan.",2,20230223
SUD688,2023-02-24,2023,Violence against civilians,Looting/property destruction,Rapid Support Forces,,3,Sudanese Armed Civilians,,7,37,Sudan,Khartoum,,,Khartoum,15.7378,32.5635,1,UN OCHA,"Violence against civilians between Rapid Support Forces and Sudanese Armed Civilians in Khartoum, Sudan.",1,20230224
SUD520,2023-02-25,2023,Explosions/Remote violence,Suicide bomb,Rapid Support Forces,,3,Sudan Armed Forces,,1,31,Sudan,Khartoum,,,Khartoum,15.9292,32.1239,1,Reuters,"Explosions/Remote violence between Rapid Support Forces and Sudan Armed Forces in Khartoum, Sudan.",3,20230225
DEM999,2023-02-25,2023,Violence against civilians,Abduction/forced disappearance,Mai Mai Militia,,4,Civilians (Somalia),,7,47,Democratic Republic of Congo,North Kivu,,,Beni,0.5389,29.6051,1,Reuters,"Violence against civilians between Mai Mai Militia and Civilians (Somalia) in Beni, Democratic Republic of Congo.",5,20230225
SUD616,2023-02-27,2023,Riots,Violent demonstration,Rioters (Sudan),,5,Sudan Armed Forces,,1,51,Sudan,West Darfur,,,El Geneina,13.2815,22.5588,1,Radio Ergo,"Riots between Rioters (Sudan) and Sudan Armed Forces in El Geneina, Sudan.",5,20230227
SOM552,2023-03-01,2023,Explosions/Remote violence,Air/drone strike,Al-Shabaab,,2,Somalia National Army,,1,21,Somalia,Bay,,,Baidoa,2.6521,43.695,1,Radio Ergo,"Explosions/Remote violence between Al-Shabaab and Somalia National Army in Baidoa, Somalia.",3,20230301
SUD493,2023-03-03,2023,Explosions/Remote violence,Shelling/artillery/missile attack,Sudan Armed Forces,,1,Sudanese Armed Civilians,,7,17,Sudan,Gedaref,,,Gedaref,13.7482,35.0142,1,Reuters,"Explosions/Remote violence between Sudan Armed Forces and Sudanese Armed Civilians in Gedaref, Sudan.",1,20230303
SOM338,2023-03-04,2023,Strategic developments,Non-violent transfer of territory,Somalia National Army,,1,Al-Shabaab,,2,12,Somalia,Bay,,,Baidoa,3.2382,43.364,1,UN OCHA,"Strategic developments between Somalia National Army and Al-Shabaab in Baidoa, Somalia.",0,20230304
ETH592,2023-03-04,2023,Battles,Armed clash,Ethiopian National Defense Force,,1,Oromo Liberation Army,,2,12,Ethiopia,Oromia,,,Addis Ababa,8.6367,38.5462,1,AFP,"Battles between Ethiopian National Defense Force and Oromo Liberation Army in Addis Ababa, Ethiopia.",11,20230304
ETH694,2023-03-04,2023,Violence against civilians,Looting/property destruction,Fano (Amhara Militia),,3,Civilians (Somalia),,7,37,Ethiopia,Oromia,,,Jimma,8.2216,36.9948,1,AFP,"Violence against civilians between Fano (Amhara Militia) and Civilians (Somalia) in Jimma, Ethiopia.",1,20230304
DEM1172,2023-03-04,2023,Battles,Government regains territory,M23,,2,FDLR,,2,22,Democratic Republic of Congo,Ituri,,,Bunia,1.4178,29.9719,1,Local sources,"Battles between M23 and FDLR in Bunia, Democratic Republic of Congo.",16,20230304
DEM1194,2023-03-04,2023,Battles,Armed clash,Armed Forces of the DRC (FARDC),,1,FDLR,,2,12,Democratic Republic of Congo,North Kivu,,,Goma,-1.2893,29.3938,1,BBC,"Battles between Armed Forces of the DRC (FARDC) and FDLR in Goma, Democratic Republic of Congo.",10,20230304
